zip,count,date,COVID_count_per_10k,name,total_population,median_household_income
97021,2,2020-12-16,14.124293785310735,Dufur,1416,58262
97042,4,2020-12-16,14.099400775467043,Mulino,2837,91742
97381,23,2020-12-16,13.803036668066975,Silverton,16663,71467
97068,42,2020-12-16,13.77681558748278,West Linn,30486,114441
97210,17,2020-12-16,13.536109562863285,Portland,12559,81797
97225,35,2020-12-16,13.417158629149736,Portland,26086,89522
97231,6,2020-12-16,13.386880856760374,Portland,4482,112694
97127,6,2020-12-16,13.374944271065537,Lafayette,4486,59993
97446,7,2020-12-16,13.23001323001323,Harrisburg,5291,59823
97424,25,2020-12-16,12.864052691159824,Cottage Grove,19434,46881
97034,26,2020-12-16,12.830635609948677,Lake Oswego,20264,142163
97035,32,2020-12-16,12.82667949334616,Lake Oswego,24948,101507
97361,16,2020-12-16,12.687336452303544,Monmouth,12611,47043
97707,9,2020-12-16,12.658227848101266,Bend,7110,62308
97327,4,2020-12-16,12.574662055957246,Brownsville,3181,60345
97146,8,2020-12-16,12.453300124533001,Warrenton,6424,56436
97405,59,2020-12-16,12.380133033971925,Eugene,47657,66133
97404,44,2020-12-16,12.365802934067787,Eugene,35582,60196
97623,3,2020-12-16,12.175324675324676,Bonanza,2464,37748
97331,4,2020-12-16,12.158054711246201,Corvallis,3290,14268
97420,34,2020-12-16,11.916862360239739,Coos Bay,28531,39114
97386,17,2020-12-16,11.672617412798681,Sweet Home,14564,44923
97540,11,2020-12-16,11.632825719120135,Talent,9456,43916
97391,7,2020-12-16,11.589403973509933,Toledo,6040,52634
97202,48,2020-12-16,11.156823094623807,Portland,43023,71733
97457,12,2020-12-16,11.15345292313412,Myrtle Creek,10759,46493
97213,35,2020-12-16,11.086474501108647,Portland,31570,73860
97232,16,2020-12-16,10.867350404129594,Portland,14723,58233
97219,45,2020-12-16,10.810031709426347,Portland,41628,100306
97883,3,2020-12-16,10.623229461756374,Union,2824,45161
97351,12,2020-12-16,10.421189752496744,Independence,11515,48413
97431,3,2020-12-16,9.983361064891847,Dexter,3005,68076
97215,18,2020-12-16,9.946949602122016,Portland,18096,85750
97836,2,2020-12-16,9.900990099009901,Heppner,2020,50209
97056,12,2020-12-16,9.775171065493646,Scappoose,12276,64162
97067,2,2020-12-16,9.775171065493646,Welches,2046,79013
97221,12,2020-12-16,9.492919863934816,Portland,12641,113699
97229,67,2020-12-16,9.479343520090548,Portland,70680,119453
97212,25,2020-12-16,9.298519675667634,Portland,26886,101728
97041,3,2020-12-16,9.285051067780874,Mount Hood Parkdale,3231,73821
97463,4,2020-12-16,9.201748332183115,Oakridge,4347,40287
97224,34,2020-12-16,9.087750247240264,Portland,37413,78136
97138,10,2020-12-16,9.087604507451836,Seaside,11004,48139
97408,13,2020-12-16,9.087096323221026,Eugene,14306,69006
97828,3,2020-12-16,9.030704394942806,Enterprise,3322,66367
97367,10,2020-12-16,9.018759018759019,Lincoln City,11088,41295
97479,9,2020-12-16,8.900316455696203,Sutherlin,10112,48659
97049,2,2020-12-16,8.88494002665482,Rhododendron,2251,72083
97103,16,2020-12-16,8.759443775320268,Astoria,18266,56160
97471,27,2020-12-16,8.756851425420816,Roseburg,30833,55714
97214,25,2020-12-16,8.749518776467294,Portland,28573,59244
97403,11,2020-12-16,8.66073537516731,Eugene,12701,48779
97048,6,2020-12-16,8.660508083140877,Rainier,6928,55360
97535,5,2020-12-16,8.598452278589853,Phoenix,5815,44271
97455,2,2020-12-16,8.576329331046312,Pleasant Hill,2332,72818
97435,2,2020-12-16,8.474576271186441,Drain,2360,46710
97239,15,2020-12-16,8.318083513558475,Portland,18033,103921
97375,1,2020-12-16,8.149959250203748,Scotts Mills,1227,84889
97365,9,2020-12-16,8.085526906836762,Newport,11131,46167
97703,25,2020-12-16,8.06555684604465,Bend,30996,78610
97368,3,2020-12-16,7.861635220125786,Otis,3816,46429
97523,6,2020-12-16,7.773027594247959,Cave Junction,7719,32518
97487,7,2020-12-16,7.679648930334613,Veneta,9115,54469
97443,2,2020-12-16,7.651109410864575,Glide,2614,57841
97341,2,2020-12-16,7.633587786259542,Depoe Bay,2620,50974
97845,2,2020-12-16,7.633587786259542,John Day,2620,48837
97014,1,2020-12-16,7.535795026375283,Cascade Locks,1327,42854
97538,2,2020-12-16,7.352941176470588,Selma,2720,46611
97496,6,2020-12-16,7.114062129475931,Winston,8434,42666
97537,5,2020-12-16,6.728569506122998,Rogue River,7431,48920
97454,1,2020-12-16,6.5487884741322855,Marcola,1527,72283
97456,2,2020-12-16,6.406149903907751,Monroe,3122,59770
97053,2,2020-12-16,5.982650314089142,Warren,3343,70596
97394,3,2020-12-16,5.88350656991567,Waldport,5099,46170
97470,12,2020-12-16,5.758986418390363,Roseburg,20837,46149
97348,1,2020-12-16,5.509641873278237,Halsey,1815,57874
97459,8,2020-12-16,5.37598279685505,North Bend,14881,45092
97136,1,2020-12-16,5.277044854881266,Rockaway Beach,1895,39354
97846,1,2020-12-16,4.8828125,Joseph,2048,50136
97868,1,2020-12-16,4.82392667631452,Pilot Rock,2073,49244
97018,1,2020-12-16,4.644681839294009,Columbia City,2153,60643
97439,7,2020-12-16,4.447268106734435,Florence,15740,40608
97720,2,2020-12-16,4.385003288752467,Burns,4561,39203
97753,1,2020-12-16,4.06669377795852,Powell Butte,2459,72838
97442,1,2020-12-16,4.014452027298274,Glendale,2491,46523
97411,3,2020-12-16,3.794586390083481,Bandon,7906,35720
97469,1,2020-12-16,3.698224852071006,Riddle,2704,49123
97417,1,2020-12-16,3.5112359550561796,Canyonville,2848,40627
97458,1,2020-12-16,2.0946795140343526,Myrtle Point,4774,42761
97444,1,2020-12-16,1.7409470752089136,Gold Beach,5744,48135
97366,0,2020-12-16,0.0,South Beach,1514,57443
97437,0,2020-12-16,0.0,Elmira,3035,59021
97449,0,2020-12-16,0.0,Lakeside,2029,39372
97467,0,2020-12-16,0.0,Reedsport,5617,38942
97541,0,2020-12-16,0.0,Trail,1483,47643
97641,0,2020-12-16,0.0,Christmas Valley,1261,27358
97826,0,2020-12-16,0.0,Echo,1335,53454
97865,0,2020-12-16,0.0,Mount Vernon,1086,37356
97885,0,2020-12-16,0.0,Wallowa,1508,51842
97708,1,2020-12-16,,,,
