zip,count,new_rate_10k,date,zipcode,name,state_abbrev,area,totpop_cy,medhinc_cy
97541,0,0.0,2020-05-19,97541,Trail,OR,196.370849013413,1483,47643
97544,0,0.0,2020-05-19,97544,Williams,OR,116.53943350706,2313,42673
97601,0,0.0,2020-05-19,97601,"Klamath Falls",OR,882.99107448628,23582,36080
97603,0,0.0,2020-05-19,97603,"Klamath Falls",OR,350.172343989018,31146,44512
97623,0,0.0,2020-05-19,97623,Bonanza,OR,806.165580831286,2464,37748
97630,0,0.0,2020-05-19,97630,Lakeview,OR,1108.21643912553,5292,43584
97641,0,0.0,2020-05-19,97641,"Christmas Valley",OR,897.061410226224,1261,27358
97738,0,0.0,2020-05-19,97738,Hines,OR,1163.67684718508,2093,51069
97739,0,0.0,2020-05-19,97739,"La Pine",OR,1087.68961845201,13577,48661
97753,0,0.0,2020-05-19,97753,"Powell Butte",OR,120.061302421717,2459,72838
97759,0,0.0,2020-05-19,97759,Sisters,OR,415.158671772103,7793,75337
97761,0,0.0,2020-05-19,97761,"Warm Springs",OR,475.68087955937,3045,49387
97818,0,0.0,2020-05-19,97818,Boardman,OR,239.125020719744,4645,54928
97820,0,0.0,2020-05-19,97820,"Canyon City",OR,160.267551419596,1238,56040
97824,0,0.0,2020-05-19,97824,Cove,OR,210.722680595857,1753,62393
97826,0,0.0,2020-05-19,97826,Echo,OR,265.413747984774,1335,53454
97827,0,0.0,2020-05-19,97827,Elgin,OR,412.153827971747,3301,41728
97828,0,0.0,2020-05-19,97828,Enterprise,OR,803.94985528233,3322,66367
97844,0,0.0,2020-05-19,97844,Irrigon,OR,64.1291827565068,4013,58486
97846,0,0.0,2020-05-19,97846,Joseph,OR,397.120770667425,2048,50136
97865,0,0.0,2020-05-19,97865,"Mount Vernon",OR,352.000365480287,1086,37356
97869,0,0.0,2020-05-19,97869,"Prairie City",OR,694.192178115562,1064,39081
97882,0,0.0,2020-05-19,97882,Umatilla,OR,21.5603927785969,8555,51073
97883,0,0.0,2020-05-19,97883,Union,OR,347.202720024648,2824,45161
97885,0,0.0,2020-05-19,97885,Wallowa,OR,535.06213387983,1508,51842
97080,12,55.35,2020-05-27,97080,Gresham,OR,22.5367931854277,46125,75213
97702,10,49.732,2020-05-27,97702,Bend,OR,132.365304370722,49732,70425
97301,8,45.9984,2020-05-27,97301,Salem,OR,11.2504876292894,57498,43425
97838,17,44.8953,2020-05-27,97838,Hermiston,OR,149.909098157205,26409,53832
97305,10,43.553,2020-05-27,97305,Salem,OR,47.9919312146601,43553,48604
97116,14,40.5762,2020-05-27,97116,"Forest Grove",OR,68.8593418357364,28983,62657
97124,7,38.3355,2020-05-27,97124,Hillsboro,OR,44.7373082281095,54765,88896
97756,9,36.18,2020-05-27,97756,Redmond,OR,98.7445915875537,40200,56928
97123,7,34.727,2020-05-27,97123,Hillsboro,OR,56.0120216624948,49610,78935
97071,9,28.4427,2020-05-27,97071,Woodburn,OR,57.0083478387998,31603,53329
97303,6,25.5276,2020-05-27,97303,Salem,OR,23.5161318208895,42546,61298
97266,6,22.1232,2020-05-27,97266,Portland,OR,6.22534838462095,36872,46821
97217,6,21.7266,2020-05-27,97217,Portland,OR,10.6222520893604,36211,69277
97203,6,21.3954,2020-05-27,97203,Portland,OR,11.3519900967709,35659,57817
97230,5,21.1745,2020-05-27,97230,Portland,OR,10.6941806300882,42349,55153
97062,7,21.0049,2020-05-27,97062,Tualatin,OR,14.7521473141031,30007,86250
97003,5,15.8075,2020-05-27,97003,Beaverton,OR,4.5660289468645,31615,72734
97914,8,15.5104,2020-05-27,97914,Ontario,OR,200.505792931874,19388,37363
97007,3,14.5518,2020-05-27,97007,Beaverton,OR,17.7854705085801,48506,100221
97229,2,14.136,2020-05-27,97229,Portland,OR,19.3911836373978,70680,119453
97267,4,13.0624,2020-05-27,97267,Portland,OR,7.58717075062981,32656,71640
97233,3,13.0092,2020-05-27,97233,Portland,OR,4.70276841896393,43364,44978
97219,3,12.4884,2020-05-27,97219,Portland,OR,11.7849159790826,41628,100306
97302,3,12.237,2020-05-27,97302,Salem,OR,24.242351044718,40790,64161
97128,3,11.8716,2020-05-27,97128,Mcminnville,OR,117.481372378274,39572,54784
97222,3,11.1759,2020-05-27,97222,Portland,OR,8.77269824640158,37253,58020
97317,4,10.4656,2020-05-27,97317,Salem,OR,54.4089265038736,26164,59502
97223,2,10.2456,2020-05-27,97223,Portland,OR,10.9526555550035,51228,83752
97504,2,9.8056,2020-05-27,97504,Medford,OR,51.2395277919682,49028,56873
97306,3,9.1173,2020-05-27,97306,Salem,OR,33.1631468359043,30391,75599
97140,3,8.6373,2020-05-27,97140,Sherwood,OR,44.5113598348181,28791,103356
97202,2,8.6046,2020-05-27,97202,Portland,OR,6.45230355394679,43023,71733
97236,2,7.9458,2020-05-27,97236,Portland,OR,7.56497957853936,39729,53217
97078,3,7.7409,2020-05-27,97078,Beaverton,OR,7.45919366438412,25803,67159
97070,3,7.5933,2020-05-27,97070,Wilsonville,OR,18.7799103406834,25311,80835
97113,5,7.591,2020-05-27,97113,Cornelius,OR,33.7133882926189,15182,62923
97103,4,7.3064,2020-05-27,97103,Astoria,OR,239.295466811066,18266,56160
97304,2,6.367,2020-05-27,97304,Salem,OR,61.7361312641532,31835,66749
97214,2,5.7146,2020-05-27,97214,Portland,OR,2.85922795051223,28573,59244
97045,1,5.6808,2020-05-27,97045,"Oregon City",OR,86.8540690401142,56808,80390
97321,2,5.5674,2020-05-27,97321,Albany,OR,75.2305488907682,27837,68304
97402,1,5.4883,2020-05-27,97402,Eugene,OR,86.7558635149065,54883,44970
97006,1,4.479,2020-05-27,97006,Beaverton,OR,6.96620870101866,44790,78544
97383,4,4.1376,2020-05-27,97383,Stayton,OR,51.2844375073337,10344,55632
97030,1,4.0367,2020-05-27,97030,Gresham,OR,7.21237632695326,40367,52440
97701,1,4.0102,2020-05-27,97701,Bend,OR,333.335024057135,40102,60820
97224,1,3.7413,2020-05-27,97224,Portland,OR,8.99561706980357,37413,78136
97322,1,3.7145,2020-05-27,97322,Albany,OR,66.1532586379949,37145,49169
97211,1,3.4085,2020-05-27,97211,Portland,OR,6.68439653946473,34085,80640
97220,1,3.334,2020-05-27,97220,Portland,OR,7.68595224493517,33340,53408
97381,2,3.3326,2020-05-27,97381,Silverton,OR,174.570771341952,16663,71467
97213,1,3.157,2020-05-27,97213,Portland,OR,3.97752784955941,31570,73860
97132,1,3.1379,2020-05-27,97132,Newberg,OR,63.2182799357448,31379,71141
97703,1,3.0996,2020-05-27,97703,Bend,OR,209.628363892125,30996,78610
97008,1,3.0336,2020-05-27,97008,Beaverton,OR,5.17317267762446,30336,71986
97005,1,2.8309,2020-05-27,97005,Beaverton,OR,5.55325797447222,28309,54232
97013,1,2.5353,2020-05-27,97013,Canby,OR,60.3126390462049,25353,76479
97024,2,2.3296,2020-05-27,97024,Fairview,OR,4.18615660806631,11648,57991
97060,1,2.2075,2020-05-27,97060,Troutdale,OR,17.3397775572849,22075,70029
97032,3,1.6299,2020-05-27,97032,Hubbard,OR,18.9248526835487,5433,61752
97026,3,1.2459,2020-05-27,97026,Gervais,OR,38.6904693240725,4153,63861
97882,1,0.8555,2020-05-27,97882,Umatilla,OR,21.5603927785969,8555,51073
97015,0,0.0,2020-05-27,97015,Clackamas,OR,8.93667288867039,22633,74846
97016,0,0.0,2020-05-27,97016,Clatskanie,OR,276.987220381071,6258,57303
97018,0,0.0,2020-05-27,97018,"Columbia City",OR,2.04488162679004,2153,60643
97021,0,0.0,2020-05-27,97021,Dufur,OR,347.081424871994,1416,58262
97022,0,0.0,2020-05-27,97022,"Eagle Creek",OR,23.8678832823901,3852,75311
97038,0,0.0,2020-05-27,97038,Molalla,OR,298.257087846743,17181,65790
97040,0,0.0,2020-05-27,97040,Mosier,OR,58.486696193266,1411,59364
97049,0,0.0,2020-05-27,97049,Rhododendron,OR,91.5863909633061,2251,72083
97054,0,0.0,2020-05-27,97054,"Deer Island",OR,42.3619066571837,1644,71903
97055,0,0.0,2020-05-27,97055,Sandy,OR,129.602002231481,19698,74114
97058,0,0.0,2020-05-27,97058,"The Dalles",OR,336.440385431871,21206,51778
97063,0,0.0,2020-05-27,97063,"Tygh Valley",OR,160.339533519498,1066,43224
97067,0,0.0,2020-05-27,97067,Welches,OR,27.8987792260179,2046,79013
97068,0,0.0,2020-05-27,97068,"West Linn",OR,23.7339287314379,30486,114441
97086,0,0.0,2020-05-27,97086,"Happy Valley",OR,10.1481203049254,32685,98590
97107,0,0.0,2020-05-27,97107,"Bay City",OR,24.3944110537478,1587,57057
97110,0,0.0,2020-05-27,97110,"Cannon Beach",OR,10.2355296015654,1713,59314
97111,0,0.0,2020-05-27,97111,Carlton,OR,39.6472672675319,3554,72753
97112,0,0.0,2020-05-27,97112,Cloverdale,OR,98.2490579434292,2263,51011
97136,0,0.0,2020-05-27,97136,"Rockaway Beach",OR,27.1921385575478,1895,39354
97148,0,0.0,2020-05-27,97148,Yamhill,OR,138.28332478265,3676,93310
