date,cases_0_to_9,cases_10_to_19,cases_0_to_19,cases_20_to_29,cases_30_to_39,cases_40_to_49,cases_50_to_59,cases_60_to_69,cases_70_to_79,cases_80_and_over,cases_Not_available,cases_Total,new_cases_0_to_9,new_cases_10_to_19,new_cases_0_to_19,new_cases_20_to_29,new_cases_30_to_39,new_cases_40_to_49,new_cases_50_to_59,new_cases_60_to_69,new_cases_70_to_79,new_cases_80_and_over,new_cases_Not_available,new_cases_Total,new_cases_0_to_29,new_case_prcnt_0_to_29,new_cases_30_to_59,new_case_prcnt_30_to_59,new_cases_60_and_over,new_case_prcnt_60_and_over,hosp_0_to_9,hosp_10_to_19,hosp_0_to_19,hosp_20_to_29,hosp_30_to_39,hosp_40_to_49,hosp_50_to_59,hosp_60_to_69,hosp_70_to_79,hosp_80_and_over,hosp_Not_available,hosp_Total,death_0_to_9,death_10_to_19,death_0_to_19,death_20_to_29,death_30_to_39,death_40_to_49,death_50_to_59,death_60_to_69,death_70_to_79,death_80_and_over,death_Not_available,death_Total,p_hosp_0_to_9,p_hosp_10_to_19,p_hosp_0_to_19,p_hosp_20_to_29,p_hosp_30_to_39,p_hosp_40_to_49,p_hosp_50_to_59,p_hosp_60_to_69,p_hosp_70_to_79,p_hosp_80_and_over,p_hosp_Not_available,p_hosp_Total,p_death_0_to_9,p_death_10_to_19,p_death_0_to_19,p_death_20_to_29,p_death_30_to_39,p_death_40_to_49,p_death_50_to_59,p_death_60_to_69,p_death_70_to_79,p_death_80_and_over,p_death_Not_available,p_death_Total,cases_overall_prcnt_0_to_9,cases_overall_prcnt_10_to_19,cases_overall_prcnt_0_to_19,cases_overall_prcnt_20_to_29,cases_overall_prcnt_30_to_39,cases_overall_prcnt_40_to_49,cases_overall_prcnt_50_to_59,cases_overall_prcnt_60_to_69,cases_overall_prcnt_70_to_79,cases_overall_prcnt_80_and_over,cases_overall_prcnt_Not_available,cases_overall_prcnt_Total,hosp_overall_prcnt_0_to_9,hosp_overall_prcnt_10_to_19,hosp_overall_prcnt_0_to_19,hosp_overall_prcnt_20_to_29,hosp_overall_prcnt_30_to_39,hosp_overall_prcnt_40_to_49,hosp_overall_prcnt_50_to_59,hosp_overall_prcnt_60_to_69,hosp_overall_prcnt_70_to_79,hosp_overall_prcnt_80_and_over,hosp_overall_prcnt_Not_available,hosp_overall_prcnt_Total,death_overall_prcnt_0_to_9,death_overall_prcnt_10_to_19,death_overall_prcnt_0_to_19,death_overall_prcnt_20_to_29,death_overall_prcnt_30_to_39,death_overall_prcnt_40_to_49,death_overall_prcnt_50_to_59,death_overall_prcnt_60_to_69,death_overall_prcnt_70_to_79,death_overall_prcnt_80_and_over,death_overall_prcnt_Not_available,death_overall_prcnt_Total
2020_05_28,57,154,211,652,694,698,708,543,346,233,1,4086,1,0,1,12,9,5,7,6,6,1,1,48,13,27.083333333333332,21,43.75,13,27.083333333333332,6,4,10,33,49,95,132,176,157,115,1,768,0,0,0,0,0,3,6,29,44,69,0,151,10.526315789473683,2.5974025974025974,4.739336492890995,5.061349693251533,7.060518731988473,13.61031518624642,18.64406779661017,32.41252302025783,45.3757225433526,49.35622317596567,100.0,18.79588839941263,0.0,0.0,0.0,0.0,0.0,0.42979942693409745,0.847457627118644,5.3406998158379375,12.716763005780345,29.613733905579398,0.0,3.6955457660303477,1.395007342143906,3.768967205090553,5.163974547234459,15.95692608908468,16.984826235927557,17.08272148800783,17.32745961820852,13.28928046989721,8.46793930494371,5.702398433675967,0.024473813020068527,100.0,0.78125,0.5208333333333334,1.3020833333333333,4.296875,6.380208333333333,12.369791666666666,17.1875,22.916666666666668,20.442708333333332,14.973958333333334,0.13020833333333334,100.0,0.0,0.0,0.0,0.0,0.0,1.9867549668874172,3.9735099337748343,19.205298013245034,29.13907284768212,45.6953642384106,0.0,100.0
2020_05_29,57,161,218,660,702,711,714,547,345,233,1,4131,0,7,7,8,8,13,6,4,-1,0,0,45,15,33.333333333333336,27,60.0,3,6.666666666666667,6,4,10,35,50,95,132,175,158,115,1,771,0,0,0,0,0,3,6,29,44,69,0,151,10.526315789473683,2.484472049689441,4.587155963302752,5.303030303030303,7.122507122507122,13.361462728551334,18.487394957983195,31.992687385740403,45.79710144927536,49.35622317596567,100.0,18.663761801016705,0.0,0.0,0.0,0.0,0.0,0.42194092827004215,0.8403361344537815,5.301645338208409,12.753623188405797,29.613733905579398,0.0,3.655289276204309,1.3798111837327525,3.897361413701283,5.277172597434036,15.97676107480029,16.99346405228758,17.21132897603486,17.28395061728395,13.241345921084482,8.351488743645607,5.640280803679497,0.02420721374969741,100.0,0.7782101167315175,0.5188067444876784,1.297016861219196,4.539559014267185,6.485084306095979,12.321660181582361,17.120622568093385,22.69779507133593,20.492866407263293,14.915693904020753,0.1297016861219196,100.0,0.0,0.0,0.0,0.0,0.0,1.9867549668874172,3.9735099337748343,19.205298013245034,29.13907284768212,45.6953642384106,0.0,100.0
2020_05_30,57,165,222,669,721,719,721,550,347,235,1,4185,0,4,4,9,19,8,7,3,2,2,0,54,13,24.074074074074073,34,62.96296296296296,7,12.962962962962964,6,4,10,37,53,95,132,175,159,116,1,778,0,0,0,0,0,3,6,30,44,70,0,153,10.526315789473683,2.4242424242424243,4.504504504504505,5.5306427503736915,7.350901525658807,13.212795549374132,18.307905686546462,31.818181818181817,45.821325648414984,49.361702127659576,100.0,18.59020310633214,0.0,0.0,0.0,0.0,0.0,0.4172461752433936,0.8321775312066574,5.454545454545454,12.680115273775217,29.78723404255319,0.0,3.655913978494624,1.3620071684587813,3.942652329749104,5.304659498207886,15.985663082437275,17.22819593787336,17.180406212664277,17.22819593787336,13.142174432497013,8.291517323775388,5.615292712066906,0.023894862604540025,100.0,0.7712082262210797,0.5141388174807198,1.2853470437017995,4.755784061696658,6.812339331619537,12.210796915167094,16.966580976863753,22.493573264781492,20.43701799485861,14.910025706940875,0.12853470437017994,100.0,0.0,0.0,0.0,0.0,0.0,1.9607843137254901,3.9215686274509802,19.607843137254903,28.758169934640524,45.751633986928105,0.0,100.0
2020_05_31,58,169,227,679,731,729,727,556,356,237,1,4243,1,4,5,10,10,10,6,6,9,2,0,58,15,25.862068965517242,26,44.827586206896555,17,29.310344827586206,6,4,10,39,53,97,132,176,162,116,1,786,0,0,0,0,0,3,6,30,44,70,0,153,10.344827586206897,2.366863905325444,4.405286343612335,5.743740795287187,7.250341997264022,13.305898491083676,18.15680880330124,31.654676258992804,45.50561797752809,48.9451476793249,100.0,18.52462880037709,0.0,0.0,0.0,0.0,0.0,0.411522633744856,0.8253094910591471,5.39568345323741,12.359550561797752,29.535864978902953,0.0,3.605939193966533,1.3669573415036531,3.983030874381334,5.349988215884987,16.00282818760311,17.228376148951213,17.181239688899364,17.134103228847515,13.10393589441433,8.390289889229319,5.585670516144238,0.023568230025925053,100.0,0.7633587786259542,0.5089058524173028,1.272264631043257,4.961832061068702,6.743002544529262,12.340966921119593,16.793893129770993,22.391857506361323,20.610687022900763,14.758269720101781,0.1272264631043257,100.0,0.0,0.0,0.0,0.0,0.0,1.9607843137254901,3.9215686274509802,19.607843137254903,28.758169934640524,45.751633986928105,0.0,100.0
2020_06_01,65,179,244,689,737,747,732,557,357,239,0,4302,7,10,17,10,6,18,5,1,1,2,-1,59,27,45.76271186440678,29,49.152542372881356,4,6.779661016949152,6,4,10,40,53,98,133,176,163,117,0,790,0,0,0,0,0,3,7,30,44,70,0,154,9.230769230769232,2.2346368715083798,4.098360655737705,5.805515239477503,7.191316146540028,13.119143239625167,18.169398907103826,31.597845601436266,45.65826330532213,48.95397489539749,0,18.36355183635518,0.0,0.0,0.0,0.0,0.0,0.4016064257028112,0.9562841530054645,5.385996409335727,12.324929971988796,29.288702928870293,0,3.5797303579730357,1.510925151092515,4.160855416085542,5.671780567178057,16.01580660158066,17.131566713156673,17.364016736401673,17.01534170153417,12.94746629474663,8.298465829846583,5.555555555555555,0.0,100.0,0.759493670886076,0.5063291139240507,1.2658227848101267,5.063291139240507,6.708860759493671,12.405063291139241,16.835443037974684,22.27848101265823,20.632911392405063,14.810126582278482,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.948051948051948,4.545454545454546,19.48051948051948,28.571428571428573,45.45454545454545,0.0,100.0
2020_06_02,65,181,246,694,747,753,737,560,358,239,1,4335,0,2,2,5,10,6,5,3,1,0,1,33,7,21.21212121212121,21,63.63636363636363,4,12.121212121212121,6,4,10,41,54,98,135,176,163,118,0,795,0,0,0,0,1,3,7,31,44,71,0,157,9.230769230769232,2.209944751381215,4.0650406504065035,5.9077809798270895,7.228915662650602,13.014608233731739,18.31750339213026,31.428571428571427,45.530726256983236,49.37238493723849,0.0,18.33910034602076,0.0,0.0,0.0,0.0,0.13386880856760375,0.398406374501992,0.9497964721845319,5.535714285714286,12.290502793296088,29.707112970711297,0.0,3.621683967704729,1.4994232987312572,4.175317185697809,5.674740484429066,16.009227220299884,17.231833910034602,17.370242214532873,17.001153402537486,12.918108419838523,8.25836216839677,5.513264129181084,0.02306805074971165,100.0,0.7547169811320755,0.5031446540880503,1.2578616352201257,5.1572327044025155,6.7924528301886795,12.327044025157234,16.9811320754717,22.138364779874212,20.50314465408805,14.842767295597485,0.0,100.0,0.0,0.0,0.0,0.0,0.6369426751592356,1.910828025477707,4.45859872611465,19.745222929936304,28.02547770700637,45.22292993630573,0.0,100.0
2020_06_03,68,185,253,710,758,761,748,566,359,244,0,4399,3,4,7,16,11,8,11,6,1,5,-1,64,23,35.9375,30,46.875,12,18.75,6,4,10,41,54,97,136,179,165,118,0,800,0,0,0,0,1,3,7,33,44,71,0,159,8.823529411764707,2.1621621621621623,3.9525691699604746,5.774647887323944,7.12401055408971,12.746386333771353,18.181818181818183,31.62544169611308,45.96100278551532,48.36065573770492,0,18.185951352580133,0.0,0.0,0.0,0.0,0.13192612137203166,0.39421813403416556,0.9358288770053476,5.830388692579505,12.256267409470752,29.098360655737704,0,3.614457831325301,1.5458058649693112,4.205501250284155,5.751307115253467,16.140031825414866,17.231188906569674,17.299386224141852,17.003864514662425,12.866560581950443,8.160945669470333,5.54671516253694,0.0,100.0,0.75,0.5,1.25,5.125,6.75,12.125,17.0,22.375,20.625,14.75,0.0,100.0,0.0,0.0,0.0,0.0,0.6289308176100629,1.8867924528301887,4.40251572327044,20.754716981132077,27.67295597484277,44.65408805031446,0.0,100.0
2020_06_04,73,189,262,739,769,774,756,569,359,246,0,4474,5,4,9,29,11,13,8,3,0,2,0,75,38,50.666666666666664,32,42.666666666666664,5,6.666666666666667,6,4,10,41,55,100,138,180,168,120,0,812,0,0,0,0,1,3,7,33,44,71,0,159,8.21917808219178,2.1164021164021163,3.816793893129771,5.548037889039242,7.152145643693109,12.919896640826872,18.253968253968253,31.63444639718805,46.796657381615596,48.78048780487805,0,18.149307107733573,0.0,0.0,0.0,0.0,0.13003901170351106,0.3875968992248062,0.9259259259259258,5.799648506151142,12.256267409470752,28.86178861788618,0,3.553866785873938,1.6316495306213679,4.224407688869021,5.856057219490389,16.517657577112203,17.188198480107285,17.299955297273133,16.897630755476083,12.717925793473402,8.024139472507823,5.498435404559678,0.0,100.0,0.7389162561576355,0.49261083743842365,1.2315270935960592,5.0492610837438425,6.773399014778325,12.31527093596059,16.995073891625616,22.167487684729064,20.689655172413794,14.77832512315271,0.0,100.0,0.0,0.0,0.0,0.0,0.6289308176100629,1.8867924528301887,4.40251572327044,20.754716981132077,27.67295597484277,44.65408805031446,0.0,100.0
2020_06_05,85,194,279,755,788,789,768,572,363,252,4,4570,12,5,17,16,19,15,12,3,4,6,4,96,33,34.375,46,47.916666666666664,13,13.541666666666666,6,4,10,41,56,100,142,180,168,122,0,819,0,0,0,0,1,3,7,34,44,72,0,161,7.0588235294117645,2.0618556701030926,3.584229390681003,5.430463576158941,7.1065989847715745,12.67427122940431,18.489583333333336,31.46853146853147,46.28099173553719,48.41269841269841,0.0,17.921225382932164,0.0,0.0,0.0,0.0,0.12690355329949238,0.38022813688212925,0.9114583333333334,5.944055944055944,12.121212121212121,28.57142857142857,0.0,3.522975929978118,1.859956236323851,4.24507658643326,6.105032822757112,16.52078774617068,17.24288840262582,17.26477024070022,16.805251641137854,12.516411378555798,7.9431072210065645,5.514223194748359,0.087527352297593,100.0,0.7326007326007326,0.4884004884004884,1.221001221001221,5.006105006105006,6.837606837606837,12.21001221001221,17.338217338217337,21.978021978021978,20.512820512820515,14.896214896214897,0.0,100.0,0.0,0.0,0.0,0.0,0.6211180124223602,1.8633540372670807,4.3478260869565215,21.11801242236025,27.32919254658385,44.72049689440994,0.0,100.0
2020_06_07,85,194,279,755,788,789,768,572,363,252,4,4570,12,5,17,16,19,15,12,3,4,6,4,96,33,34.375,46,47.916666666666664,13,13.541666666666666,6,4,10,41,56,100,142,180,168,122,0,819,0,0,0,0,1,3,7,34,44,72,0,161,7.0588235294117645,2.0618556701030926,3.584229390681003,5.430463576158941,7.1065989847715745,12.67427122940431,18.489583333333336,31.46853146853147,46.28099173553719,48.41269841269841,0.0,17.921225382932164,0.0,0.0,0.0,0.0,0.12690355329949238,0.38022813688212925,0.9114583333333334,5.944055944055944,12.121212121212121,28.57142857142857,0.0,3.522975929978118,1.859956236323851,4.24507658643326,6.105032822757112,16.52078774617068,17.24288840262582,17.26477024070022,16.805251641137854,12.516411378555798,7.9431072210065645,5.514223194748359,0.087527352297593,100.0,0.7326007326007326,0.4884004884004884,1.221001221001221,5.006105006105006,6.837606837606837,12.21001221001221,17.338217338217337,21.978021978021978,20.512820512820515,14.896214896214897,0.0,100.0,0.0,0.0,0.0,0.0,0.6211180124223602,1.8633540372670807,4.3478260869565215,21.11801242236025,27.32919254658385,44.72049689440994,0.0,100.0
2020_06_08,90,222,312,854,850,849,806,595,378,272,6,4922,5,28,33,99,62,60,38,23,15,20,2,352,132,37.5,160,45.45454545454545,58,16.477272727272727,7,4,11,41,61,102,147,184,172,124,1,843,0,0,0,0,1,3,8,34,46,72,0,164,7.777777777777778,1.8018018018018018,3.5256410256410255,4.8009367681498825,7.1764705882352935,12.014134275618375,18.23821339950372,30.92436974789916,45.5026455026455,45.588235294117645,16.666666666666664,17.127184071515643,0.0,0.0,0.0,0.0,0.1176470588235294,0.35335689045936397,0.9925558312655087,5.714285714285714,12.16931216931217,26.47058823529412,0.0,3.3319788703778954,1.828524989841528,4.510361641609102,6.33888663145063,17.35067045916294,17.269402681836652,17.24908573750508,16.37545713124746,12.088581877285657,7.679804957334417,5.5262088581877284,0.12190166598943519,100.0,0.830367734282325,0.4744958481613286,1.3048635824436536,4.863582443653618,7.236061684460261,12.099644128113878,17.437722419928825,21.826809015421116,20.40332147093713,14.709371293001187,0.11862396204033215,100.0,0.0,0.0,0.0,0.0,0.6097560975609756,1.829268292682927,4.878048780487805,20.73170731707317,28.048780487804876,43.90243902439025,0.0,100.0
