zip,count,rate_10k,date
97471,41,140.9,2020-09-10
97477,83,225.1,2020-09-10
97478,112,302.6,2020-09-10
97479,41,431.4,2020-09-10
97487,12,142,2020-09-10
97488,-1,-1,2020-09-10
97495,-1,-1,2020-09-10
97496,10,131,2020-09-10
97497,0,0,2020-09-10
97498,-1,-1,2020-09-10
97499,0,0,2020-09-10
97501,323,767,2020-09-10
97502,98,353.9,2020-09-10
97503,121,1149.3,2020-09-10
97504,161,362.3,2020-09-10
97520,40,163.5,2020-09-10
97523,10,159.6,2020-09-10
97524,45,311.2,2020-09-10
97525,17,369.5,2020-09-10
97526,70,204.6,2020-09-10
97527,68,201.7,2020-09-10
97530,18,260.3,2020-09-10
97532,-1,-1,2020-09-10
97535,19,376.5,2020-09-10
97537,17,245.7,2020-09-10
97538,0,0,2020-09-10
97539,-1,-1,2020-09-10
97540,35,441.4,2020-09-10
97541,-1,-1,2020-09-10
97544,0,0,2020-09-10
97601,92,409.6,2020-09-10
97603,87,294.7,2020-09-10
97623,-1,-1,2020-09-10
97624,10,285.7,2020-09-10
97630,29,569.07,2020-09-10
97632,-1,-1,2020-09-10
97633,13,955.2,2020-09-10
97641,0,0,2020-09-10
97701,214,362.8,2020-09-10
97702,192,473.1,2020-09-10
97703,90,271.2,2020-09-10
97707,-1,-1,2020-09-10
97708,-1,-1,2020-09-10
97720,-1,-1,2020-09-10
97734,19,682,2020-09-10
97738,-1,-1,2020-09-10
97739,17,154.3,2020-09-10
97741,164,1376.8,2020-09-10
97753,-1,-1,2020-09-10
97754,54,290.7,2020-09-10
97756,133,396.4,2020-09-10
97759,25,397.2,2020-09-10
97760,25,370,2020-09-10
97761,277,6947.6,2020-09-10
97801,549,2551,2020-09-10
97813,-1,-1,2020-09-10
97814,81,654.2,2020-09-10
97818,316,7598,2020-09-10
97820,0,0,2020-09-10
97824,10,602,2020-09-10
97826,23,2119.8,2020-09-10
97827,13,494.7,2020-09-10
97828,10,320.1,2020-09-10
97836,11,554.7,2020-09-10
97838,1488,5870.7,2020-09-10
97844,122,3205.5,2020-09-10
97845,-1,-1,2020-09-10
97846,-1,-1,2020-09-10
